numero_opportunidad,cliente,unidad_negocio,etapas,tipos,acv,tcv,margen_ganancia,regiones,territorios,industrias,fecha_creacion_oportunidad,fecha_cierre_oportunidad,edad_oferta,lead_source,numero_vendedor
OP-06010,CL-00808,BU-05,Won,TY-00,2383.27,2383.27,0.29,RE-02,TE-01,IN-29,2020-12-29,2020-12-29,0.0,LS-19,NV-2
OP-06011,CL-00742,BU-04,Won,TY-04,10432.47,10432.47,0.23,RE-02,TE-03,IN-23,2018-08-09,2018-09-04,26.0,LS-07,NV-1
OP-06012,CL-00808,BU-05,Won,TY-00,2161.57,2161.57,0.18,RE-02,TE-10,IN-35,2020-11-28,2020-11-28,0.0,LS-07,NV-0
OP-06013,CL-00742,BU-04,Won,TY-05,5705.26,5705.26,0.16,RE-02,TE-05,IN-58,2018-07-06,2018-07-06,0.0,LS-33,NV-4
OP-06014,CL-00808,BU-05,Won,TY-00,5341.2,5341.2,0.07,RE-02,TE-00,IN-04,2020-06-14,2020-06-14,0.0,LS-35,NV-2
OP-06015,CL-00742,BU-04,Won,TY-05,1118.22,1118.22,0.08,RE-02,TE-09,IN-19,2018-08-29,2018-08-29,0.0,LS-00,NV-0
OP-06016,CL-00808,BU-05,Won,TY-00,4398.01,4398.01,0.27,RE-02,TE-10,IN-30,2020-08-14,2020-08-14,0.0,LS-13,NV-0
OP-06017,CL-00742,BU-04,Won,TY-05,1118.22,1118.22,0.19,RE-02,TE-04,IN-17,2018-09-05,2018-09-05,0.0,LS-21,NV-4
OP-06018,CL-00808,BU-05,Won,TY-00,5425.8,5425.8,0.27,RE-02,TE-09,IN-14,2020-05-10,2020-05-10,0.0,LS-08,NV-2
OP-06019,CL-00742,BU-04,Won,TY-05,1118.22,1118.22,0.05,RE-02,TE-05,IN-64,2018-05-25,2018-05-25,0.0,LS-08,NV-2
OP-06020,CL-00918,BU-01,Lost,TY-00,0.0,0.0,0.17,RE-02,TE-00,IN-34,2016-09-06,2020-12-21,1567.0,LS-01,NV-4
OP-06021,CL-00742,BU-04,Won,TY-04,87534.92,87534.92,0.16,RE-02,TE-01,IN-20,2018-06-27,2018-07-05,8.0,LS-13,NV-4
OP-06022,CL-00918,BU-01,Lost,TY-00,7639.87,7639.87,0.29,RE-02,TE-08,IN-29,2019-05-08,2020-09-16,497.0,LS-21,NV-4
OP-06023,CL-00742,BU-04,Won,TY-04,54118.42,54118.42,0.23,RE-02,TE-08,IN-51,2018-05-15,2018-05-25,10.0,LS-11,NV-3
OP-06024,CL-00918,BU-01,Lost,TY-00,16851.09,16851.09,0.28,RE-02,TE-04,IN-29,2017-08-23,2020-10-28,1162.0,LS-28,NV-3
OP-06025,CL-00742,BU-04,Won,TY-04,143446.42,143446.42,0.15,RE-02,TE-08,IN-07,2018-05-02,2018-06-10,39.0,LS-24,NV-3
OP-06026,CL-00918,BU-01,Lost,TY-05,1952928.57,6824271.04,0.25,RE-02,TE-14,IN-19,2019-02-10,2020-08-06,543.0,LS-08,NV-0
OP-06027,CL-00742,BU-04,Won,TY-04,110844.96,110844.96,0.06,RE-02,TE-11,IN-26,2018-07-09,2018-08-17,39.0,LS-33,NV-1
OP-06028,CL-00918,BU-01,S4,TY-00,78029.38,78029.38,0.29,RE-02,TE-06,IN-09,2023-08-31,2024-05-02,33.0,LS-22,NV-4
OP-06029,CL-00742,BU-04,Won,TY-05,4472.88,4472.88,0.08,RE-02,TE-10,IN-51,2018-05-09,2018-05-09,0.0,LS-02,NV-0
OP-06030,CL-00742,BU-04,Won,TY-05,2608.12,2608.12,0.11,RE-02,TE-02,IN-44,2018-05-16,2018-05-16,0.0,LS-35,NV-1
OP-06031,CL-00918,BU-01,S3,TY-00,124235.2,124235.2,0.11,RE-02,TE-00,IN-44,2023-02-16,2024-01-25,190.0,LS-18,NV-0
OP-06032,CL-00742,BU-04,Won,TY-04,176047.87,176047.87,0.11,RE-02,TE-13,IN-49,2018-06-02,2018-07-19,47.0,LS-25,NV-2
OP-06033,CL-00918,BU-01,S3,TY-00,146323.45,146323.45,0.14,RE-02,TE-06,IN-39,2023-04-03,2024-03-11,190.0,LS-29,NV-2
OP-06034,CL-00742,BU-04,Won,TY-05,7292.74,7292.74,0.23,RE-02,TE-09,IN-41,2018-07-19,2018-07-19,0.0,LS-01,NV-0
OP-06035,CL-00918,BU-01,Lost,TY-00,76630.15,76630.15,0.09,RE-02,TE-02,IN-30,2023-03-07,2023-10-22,229.0,LS-24,NV-3
OP-06036,CL-00742,BU-04,Won,TY-05,6709.32,6709.32,0.28,RE-02,TE-01,IN-26,2018-07-21,2018-07-21,0.0,LS-32,NV-1
OP-06037,CL-00918,BU-01,Lost,TY-00,70645.24,70645.24,0.22,RE-02,TE-02,IN-52,2022-12-19,2023-08-06,230.0,LS-07,NV-4
OP-06038,CL-00742,BU-04,Won,TY-04,14497.56,14497.56,0.23,RE-02,TE-04,IN-05,2018-04-05,2018-04-19,14.0,LS-25,NV-1
OP-06039,CL-00918,BU-01,Lost,TY-00,96804.78,96804.78,0.06,RE-02,TE-01,IN-59,2022-10-27,2023-09-21,329.0,LS-03,NV-0
